"n, k, d",time,size
"('n = ', '3, k = 2, d = 0.2')",0.0004311180114746094,11.63
"('n = ', '3, k = 2, d = 0.5')",0.0005199456214904785,47.82
"('n = ', '3, k = 5, d = 0.2')",0.0004899001121520996,44.23
"('n = ', '3, k = 5, d = 0.5')",0.0009801840782165526,132.44
"('n = ', '3, k = 10, d = 0.2')",0.0008804416656494141,107.71
"('n = ', '3, k = 10, d = 0.5')",0.0019300127029418946,263.46
"('n = ', '4, k = 2, d = 0.2')",0.00042672395706176757,24.13
"('n = ', '4, k = 2, d = 0.5')",0.0008469009399414062,175.89
"('n = ', '4, k = 5, d = 0.2')",0.0008631134033203125,138.26
"('n = ', '4, k = 5, d = 0.5')",0.002141273021697998,586.01
"('n = ', '4, k = 10, d = 0.2')",0.00175994873046875,402.75
"('n = ', '4, k = 10, d = 0.5')",0.011092724800109864,1283.66
"('n = ', '5, k = 2, d = 0.2')",0.0005799674987792969,58.07
"('n = ', '5, k = 2, d = 0.5')",0.008118774890899658,600.28
"('n = ', '5, k = 5, d = 0.2')",0.001520254611968994,408.86
"('n = ', '5, k = 5, d = 0.5')",0.011299817562103272,2165.85
"('n = ', '5, k = 10, d = 0.2')",0.003781423568725586,1415.54
"('n = ', '5, k = 10, d = 0.5')",0.0147831130027771,4666.97
"('n = ', '6, k = 2, d = 0.2')",0.000780181884765625,120.45
"('n = ', '6, k = 2, d = 0.5')",0.010121667385101318,1937.23
"('n = ', '6, k = 5, d = 0.2')",0.0030122947692871093,1303.13
"('n = ', '6, k = 5, d = 0.5')",0.061033282279968265,9425.26
"('n = ', '6, k = 10, d = 0.2')",0.029404163360595703,5338.4
"('n = ', '6, k = 10, d = 0.5')",0.11826486110687257,20142.5
"('n = ', '7, k = 2, d = 0.2')",0.0012428903579711915,305.45
"('n = ', '7, k = 2, d = 0.5')",0.02882821559906006,6479.46
"('n = ', '7, k = 5, d = 0.2')",0.019227757453918456,4744.61
"('n = ', '7, k = 5, d = 0.5')",0.22541329383850098,33107.11
"('n = ', '7, k = 10, d = 0.2')",0.0869243335723877,20634.35
"('n = ', '7, k = 10, d = 0.5')",0.4581255722045898,77864.41
"('n = ', '8, k = 2, d = 0.2')",0.0018303227424621583,683.87
"('n = ', '8, k = 2, d = 0.5')",0.0870839262008667,20556.11
"('n = ', '8, k = 5, d = 0.2')",0.06218850612640381,16861.09
"('n = ', '8, k = 5, d = 0.5')",0.7766379380226135,123481.07
"('n = ', '8, k = 10, d = 0.2')",0.4053038120269775,71188.51
"('n = ', '8, k = 10, d = 0.5')",1.995869252681732,302918.75
"('n = ', '9, k = 2, d = 0.2')",0.003055851459503174,1766.59
"('n = ', '9, k = 2, d = 0.5')",0.35535076379776,72112.32
"('n = ', '9, k = 5, d = 0.2')",0.22253994703292845,48749.95
"('n = ', '9, k = 5, d = 0.5')",3.6820445728302,495979.55
"('n = ', '9, k = 10, d = 0.2')",1.8442890238761902,260318.4
"('n = ', '9, k = 10, d = 0.5')",11.180678486824036,1311281.91
"('n = ', '10, k = 2, d = 0.2')",0.01973397970199585,4173.99
"('n = ', '10, k = 2, d = 0.5')",1.3049252891540528,285981.52
"('n = ', '10, k = 5, d = 0.2')",0.7220607304573059,158981.2
"('n = ', '10, k = 5, d = 0.5')",13.387930805683135,1944759.39
"('n = ', '10, k = 10, d = 0.2')",7.1508296418190005,1093292.66
"('n = ', '10, k = 10, d = 0.5')",40.576565179824826,5092002.19
