"n, k, d",time,size
"('n = ', '3, k = 2, d = 0.2')",0.000430300235748291,11.47
"('n = ', '3, k = 2, d = 0.5')",0.0005099701881408691,46.27
"('n = ', '3, k = 5, d = 0.2')",0.0005900049209594726,43.02
"('n = ', '3, k = 5, d = 0.5')",0.0009732365608215332,138.92
"('n = ', '3, k = 10, d = 0.2')",0.0008376598358154297,110.15
"('n = ', '3, k = 10, d = 0.5')",0.002017390727996826,273.57
"('n = ', '4, k = 2, d = 0.2')",0.0006011629104614258,23.6
"('n = ', '4, k = 2, d = 0.5')",0.0008600664138793946,190.7
"('n = ', '4, k = 5, d = 0.2')",0.0008825159072875976,144.26
"('n = ', '4, k = 5, d = 0.5')",0.0022065210342407226,667.89
"('n = ', '4, k = 10, d = 0.2')",0.0018002986907958984,462.98
"('n = ', '4, k = 10, d = 0.5')",0.017426381111145018,1452.04
"('n = ', '5, k = 2, d = 0.2')",0.0006531310081481933,56.28
"('n = ', '5, k = 2, d = 0.5')",0.0017100858688354492,658.67
"('n = ', '5, k = 5, d = 0.2')",0.0016891670227050782,465.13
"('n = ', '5, k = 5, d = 0.5')",0.012392265796661377,2713.28
"('n = ', '5, k = 10, d = 0.2')",0.004364778995513916,1678.27
"('n = ', '5, k = 10, d = 0.5')",0.044487099647521976,5397.29
"('n = ', '6, k = 2, d = 0.2')",0.0007950639724731445,113.29
"('n = ', '6, k = 2, d = 0.5')",0.004586341381072998,2478.88
"('n = ', '6, k = 5, d = 0.2')",0.003224740028381348,1606.8
"('n = ', '6, k = 5, d = 0.5')",0.05563681364059448,12577.4
"('n = ', '6, k = 10, d = 0.2')",0.036714437007904055,7185.6
"('n = ', '6, k = 10, d = 0.5')",0.14265247583389282,26483.6
"('n = ', '7, k = 2, d = 0.2')",0.0011972665786743164,324.56
"('n = ', '7, k = 2, d = 0.5')",0.06402001857757568,9826.85
"('n = ', '7, k = 5, d = 0.2')",0.02819742202758789,6634.28
"('n = ', '7, k = 5, d = 0.5')",0.21018086910247802,45612.83
"('n = ', '7, k = 10, d = 0.2')",0.14800431966781616,30557.43
"('n = ', '7, k = 10, d = 0.5')",0.5429572296142579,105748.26
"('n = ', '8, k = 2, d = 0.2')",0.0019991421699523926,782.87
"('n = ', '8, k = 2, d = 0.5')",0.19728012084960939,31775.59
"('n = ', '8, k = 5, d = 0.2')",0.13266656875610353,27096.17
"('n = ', '8, k = 5, d = 0.5')",1.0588283276557922,183274.31
"('n = ', '8, k = 10, d = 0.2')",0.5729760193824768,120115.51
"('n = ', '8, k = 10, d = 0.5')",2.655992212295532,459743.84
"('n = ', '9, k = 2, d = 0.2')",0.00451927661895752,2530.67
"('n = ', '9, k = 2, d = 0.5')",0.8175416517257691,141651.38
"('n = ', '9, k = 5, d = 0.2')",0.47476781129837037,88772.02
"('n = ', '9, k = 5, d = 0.5')",5.56163057088852,794950.74
"('n = ', '9, k = 10, d = 0.2')",2.941221878528595,438814.18
"('n = ', '9, k = 10, d = 0.5')",14.818084924221038,1888258.69
"('n = ', '10, k = 2, d = 0.2')",0.030225324630737304,6805.29
"('n = ', '10, k = 2, d = 0.5')",3.0964754390716553,594542.05
"('n = ', '10, k = 5, d = 0.2')",1.6543782877922057,349838.97
"('n = ', '10, k = 5, d = 0.5')",20.913175876140595,3252010.84
"('n = ', '10, k = 10, d = 0.2')",12.776454305648803,1916857.49
"('n = ', '10, k = 10, d = 0.5')",53.835790157318115,7420427.36
