"n, k, d",time,size
"('n = ', '3, k = 2, d = 0.2')",1.9996166229248048e-05,14.12
"('n = ', '3, k = 2, d = 0.5')",0.00012990951538085937,72.62
"('n = ', '3, k = 5, d = 0.2')",7.999897003173829e-05,70.72
"('n = ', '3, k = 5, d = 0.5')",0.00023006677627563477,195.24
"('n = ', '3, k = 10, d = 0.2')",0.00023974418640136717,166.26
"('n = ', '3, k = 10, d = 0.5')",0.000502467155456543,409.36
"('n = ', '4, k = 2, d = 0.2')",6.603002548217773e-05,36.28
"('n = ', '4, k = 2, d = 0.5')",0.00033971548080444333,304.59
"('n = ', '4, k = 5, d = 0.2')",0.0002496576309204102,251.13
"('n = ', '4, k = 5, d = 0.5')",0.0010519886016845702,932.2
"('n = ', '4, k = 10, d = 0.2')",0.007227632999420166,675.3
"('n = ', '4, k = 10, d = 0.5')",0.0020240998268127443,1901.61
"('n = ', '5, k = 2, d = 0.2')",0.00012980937957763673,101.73
"('n = ', '5, k = 2, d = 0.5')",0.0012876152992248534,1236.64
"('n = ', '5, k = 5, d = 0.2')",0.0011751580238342286,1040.74
"('n = ', '5, k = 5, d = 0.5')",0.024616975784301758,4128.35
"('n = ', '5, k = 10, d = 0.2')",0.010062673091888429,2956.08
"('n = ', '5, k = 10, d = 0.5')",0.022074768543243407,8218.65
"('n = ', '6, k = 2, d = 0.2')",0.00027953147888183595,293.45
"('n = ', '6, k = 2, d = 0.5')",0.01284355640411377,5431.52
"('n = ', '6, k = 5, d = 0.2')",0.017838916778564452,3905.34
"('n = ', '6, k = 5, d = 0.5')",0.07166206359863281,17309.59
"('n = ', '6, k = 10, d = 0.2')",0.06810994625091553,12904.23
"('n = ', '6, k = 10, d = 0.5')",0.16345953464508056,33960.49
"('n = ', '7, k = 2, d = 0.2')",0.0014643335342407226,1260.9
"('n = ', '7, k = 2, d = 0.5')",0.06871088027954102,17856.3
"('n = ', '7, k = 5, d = 0.2')",0.11499937534332276,17058.38
"('n = ', '7, k = 5, d = 0.5')",0.3095469832420349,68846.38
"('n = ', '7, k = 10, d = 0.2')",0.2347693157196045,54906.17
"('n = ', '7, k = 10, d = 0.5')",0.7783033180236817,138601.66
"('n = ', '8, k = 2, d = 0.2')",0.0035464954376220703,3224.78
"('n = ', '8, k = 2, d = 0.5')",0.401950888633728,87193.27
"('n = ', '8, k = 5, d = 0.2')",0.3178977370262146,62979.51
"('n = ', '8, k = 5, d = 0.5')",1.6093268585205078,288666.02
"('n = ', '8, k = 10, d = 0.2')",1.1692527008056641,212490.85
"('n = ', '8, k = 10, d = 0.5')",3.3209670400619506,590675.47
"('n = ', '9, k = 2, d = 0.2')",0.0671429181098938,16177.77
"('n = ', '9, k = 2, d = 0.5')",2.066640021800995,354935.24
"('n = ', '9, k = 5, d = 0.2')",1.5516824865341186,268516.0
"('n = ', '9, k = 5, d = 0.5')",8.321868557929992,1236281.87
"('n = ', '9, k = 10, d = 0.2')",6.226889171600342,932248.0
"('n = ', '9, k = 10, d = 0.5')",18.624137382507325,2372491.9
"('n = ', '10, k = 2, d = 0.2')",0.3363616156578064,69069.3
"('n = ', '10, k = 2, d = 0.5')",7.808108441829681,1386168.08
"('n = ', '10, k = 5, d = 0.2')",7.131381866931915,1227513.73
"('n = ', '10, k = 5, d = 0.5')",33.48975229740143,5123652.08
"('n = ', '10, k = 10, d = 0.2')",24.725251088142397,3558192.57
"('n = ', '10, k = 10, d = 0.5')",71.09848093271256,9855514.79
